name,type,lat,lon,cuisine,source
Indian Coffee House,restaurant,12.9745397,77.6052505,coffee_shop;indian,OSM
Mishra Pedha,fast_food,12.9678501,77.5927753,regional,OSM
Udupi Sri Krishnarajathadri,restaurant,13.0041002,77.5713906,indian,OSM
Nandini Palace,restaurant,13.0330093,77.5691944,,OSM
Beijing Bites,restaurant,13.0330896,77.569359,,OSM
McDonald's,fast_food,13.0293247,77.5708017,burger,OSM
Onesta,restaurant,13.0292372,77.5708378,pizza,OSM
Chung's,restaurant,13.00654,77.5692833,chinese,OSM
Sher-e-Punjab Dhaba,restaurant,13.0218399,77.5349348,,OSM
Unknown,fast_food,13.0273219,77.5389577,,OSM
Raju Samosa,fast_food,13.0266571,77.5391304,,OSM
Sai Chats,fast_food,13.0067269,77.5640344,indian,OSM
Adarsh Dhaba,restaurant,13.0220281,77.5340657,,OSM
Shanthi Sagar,cafe,13.0369119,77.5659032,,OSM
RMV Club,restaurant,13.0380165,77.5693434,,OSM
Hunan Chinese Restaurant,restaurant,13.0342347,77.5693249,chinese,OSM
Kabini Canteen,restaurant,13.0162478,77.5648911,,OSM
Chicken County,restaurant,13.0372579,77.566121,,OSM
The Bay,food_court,12.9939354,77.6609577,,OSM
Shiro,restaurant,12.971852,77.5964092,asian,OSM
Mess B,food_court,13.018847,77.5629281,,OSM
Mess A,food_court,13.0189607,77.5625244,,OSM
Sandhya Sagar,restaurant,12.9600242,77.6015444,,OSM
Utsav,restaurant,12.9601639,77.5945806,,OSM
Rasa,restaurant,12.994359,77.5711764,,OSM
Sri Ganesh Darshan,fast_food,13.0282488,77.5717997,indian,OSM
Freska,restaurant,13.0275961,77.5766293,,OSM
Unknown,restaurant,13.0068412,77.5789439,,OSM
Pizza Hut,restaurant,13.0279832,77.5715545,pizza,OSM
Miller's 46,restaurant,12.991491,77.5941489,american,OSM
Mint Masala,restaurant,13.0069868,77.5788699,,OSM
Juice Junction,cafe,12.9720317,77.6009309,,OSM
Bowring Stall,cafe,12.9751155,77.6014152,,OSM
Shezan Restaurant,restaurant,12.9871688,77.5946714,,OSM
Domino's,fast_food,12.988225,77.5938291,pizza,OSM
Ramana's,restaurant,12.9887039,77.5939333,indian,OSM
Unknown,fast_food,12.9767317,77.5891659,,OSM
Subway,fast_food,12.9758245,77.5975433,sandwich,OSM
McDonald's,fast_food,12.9757683,77.5984496,burger,OSM
Nisarga,restaurant,12.9704007,77.5874248,regional,OSM
Mathsyadarshini (Fish Canteen),fast_food,12.9752515,77.5886667,fish,OSM
Cafe Coffee Day,cafe,12.9717817,77.5942306,coffee_shop,OSM
Museum Canteen,fast_food,12.9748503,77.5956392,,OSM
Canteen,restaurant,12.9803653,77.5950694,,OSM
Cafe Coffee Day,cafe,13.0076197,77.5793977,coffee_shop,OSM
Parkview Hotel,restaurant,12.9758502,77.5891031,,OSM
Chatpat,restaurant,12.9671651,77.580199,indian,OSM
Cane Crush,cafe,12.9697027,77.5796625,,OSM
Sri Vinayaka Juice & Chats Center,cafe,12.9742892,77.5778952,,OSM
Hotel Madhuvan,restaurant,12.9703805,77.5800395,indian,OSM
Hotel Empire,restaurant,12.9798386,77.6027906,indian,OSM
Sanman Veg,restaurant,12.9847344,77.5971261,regional,OSM
Sweet Chariot,cafe,12.9857313,77.595832,,OSM
Cafe Coffee Day,cafe,12.9356995,77.6145787,coffee_shop,OSM
Sana Di Ge,restaurant,12.9853914,77.5795059,indian,OSM
Pure & Natural,cafe,13.0075715,77.5793658,,OSM
New Shanthi Sagar,restaurant,13.0068783,77.5790907,indian,OSM
Nikki's Pub & Restaurant,restaurant,13.0144093,77.5736842,,OSM
Coffee Day,cafe,12.9736525,77.5801953,,OSM
Chicken County,fast_food,12.9756686,77.5749645,,OSM
Amruth Vegetarian Restaurant,restaurant,12.9711937,77.6007788,indian,OSM
Hotel Vinitha,restaurant,12.982738,77.6030551,indian,OSM
Hare Krishna Pure Veg Restaurant,restaurant,12.9772698,77.570304,,OSM
Balaji Restaurant,restaurant,12.9772479,77.5704213,,OSM
Fresh Cane,cafe,12.9734503,77.5751186,,OSM
Pizza Hut,restaurant,12.9310045,77.5830947,pizza,OSM
Barbeque Nation,restaurant,12.9622135,77.6414116,,OSM
Samosa,fast_food,13.0261316,77.5379964,,OSM
Hotel Madeshwara,fast_food,13.0281211,77.5360606,,OSM
A Masala House,restaurant,12.9893411,77.5929583,indian,OSM
Pizza Hut,restaurant,12.9590966,77.6544331,pizza,OSM
Kabab Manor,restaurant,13.0273116,77.5935719,,OSM
Food Magic,fast_food,13.003599,77.6225091,,OSM
Ebony,restaurant,12.9753625,77.6051643,indian,OSM
Little Imperial,restaurant,13.0228247,77.6477855,,OSM
Cafe Coffee Day,cafe,12.924585,77.6743627,coffee_shop,OSM
Hyderabad Biryani House,restaurant,12.959041,77.6564566,Andhra,OSM
Cafe Coffee Day,cafe,12.967858,77.6542204,coffee_shop,OSM
Empire,restaurant,12.9699613,77.6473796,indian,OSM
Sri Ganesh Food Point,restaurant,12.9149626,77.6149914,,OSM
Beijing Bites,restaurant,12.913127,77.6101684,,OSM
Punjabi Swag,restaurant,12.9136689,77.6099505,,OSM
Udupi Upahar,restaurant,12.9387161,77.5534116,regional,OSM
Anna Kuteera,restaurant,12.9261046,77.5502503,,OSM
Shanthi Sagar,restaurant,12.9237141,77.5534616,,OSM
Ganesh Bhavan,restaurant,12.9437007,77.5649097,,OSM
Schezwan,restaurant,13.1028474,77.5770272,chinese,OSM
Namma Mane,fast_food,13.1061576,77.5798146,regional,OSM
Mallu Bakery,fast_food,13.1044566,77.5832328,,OSM
Kadai,fast_food,13.103198,77.5842815,mixed,OSM
The Coffee Brewery,cafe,12.9622669,77.7014635,coffee_shop,OSM
Eden Dhaba,restaurant,12.931753,77.68645,indian,OSM
Calcutta Victoria Chat House,fast_food,12.9644314,77.7161868,indian,OSM
